row_id,unique_id,comment,t_1,t_2,t_3,t_4,t_5,t_6,max_sc,topic
12478,12464222432,WALK,0.9965020673435497,8.014336294848832e-4,6.431270248431883e-4,6.522238867280105e-4,6.703770207218117e-4,7.307710946723495e-4,0.9965020673435497,T1
26039,12643691979,NO TO ZERO EQUALS,0.9875431303364001,0.0028540727472581968,0.002290309823671819,0.002322705651143809,0.002387352757408036,0.0026024286841181683,0.9875431303364001,T1
22869,12610980777,MIDDLE,0.982317535386969,0.004051342088283871,0.0032510834185167435,0.003297069134700096,0.003388835380933878,0.0036941345905964506,0.982317535386969,T1
17142,12456423842,MOST LISTENED TO,0.9809883176694986,0.004355887625409482,0.003495472296166854,0.0035449148284694043,0.0036435792827883757,0.003971828297667249,0.9809883176694986,T1
22448,12607817900,UNDERMINED,0.9728138084570738,0.006228801495060593,0.004998430845024432,0.005069132328995051,0.005210219830193747,0.005679607043652332,0.9728138084570738,T1
27947,12653603809,WE HAVE THE RIGHT TO EXPRESS OUR OPINIONS,0.9428073966176804,0.007350000656451795,0.00589816034774778,0.031094420630776456,0.006148071856608374,0.006701949890735246,0.9428073966176804,T1
3879,12400639000,WELL EQUIPPED,0.941223341725204,0.01346669452978143,0.010806628108402496,0.010959485008432074,0.011264516768092371,0.012279333860087463,0.941223341725204,T1
4206,12401242377,WELL EQUIPPED,0.941223341725204,0.01346669452978143,0.010806628108402496,0.010959485008432074,0.011264516768092371,0.012279333860087463,0.941223341725204,T1
20541,12595603148,IT STILL NEEDS MORE INPUT WE STILL FAR,0.941223341725204,0.01346669452978143,0.010806628108402496,0.010959485008432074,0.011264516768092371,0.012279333860087463,0.941223341725204,T1
16984,12454404583,IT'`S FEAR,0.9236032774828641,0.03070394313606709,2.4395064827955495e-4,0.03983160378737037,0.00534002918874422,2.7719575667458106e-4,0.9236032774828641,T1
4791,12403874552,THEIR VOICE BE HEARD,0.9094201572169742,0.0016758210898234892,0.0013447973631458136,0.08462938276194909,0.0014017778991639392,0.0015280636689434309,0.9094201572169742,T1
9790,12425982957,UTOPIA,0.8901778036113759,0.025162062879465506,0.02019181881472708,0.02047742675820561,0.021047368275764557,0.022943519660461577,0.8901778036113759,T1
26063,12643725562,MAKE IT MORE COMFORTABLE,0.8584638744994413,0.042382440162174614,0.009119072645895626,0.0730215664502197,0.008139864107147675,0.008873182135121078,0.8584638744994413,T1
17787,12468174705,TO BE INDEPENDENT,0.8494967094449742,5.233909927160372e-4,4.200059488289005e-4,0.05153956546572528,0.087998214167305,0.010022113980450545,0.8494967094449742,T1
25343,12640176277,INDEPENDENT,0.8494967094449742,5.233909927160372e-4,4.200059488289005e-4,0.05153956546572528,0.087998214167305,0.010022113980450545,0.8494967094449742,T1
